image_path,caption
data/images/c9e39499-5665-45f7-8a3c-00db7871d64a.png," Composition of recycling such as plastic bottles with tires and drink cans ,food cans ,plastic bags and carton boxes plastic cups and papers glass bottles and jars metal plastic lids and tubs ,magazines and newspapers and paper board boxes and rigid plastic pizza boxes"
data/images/7ce3e706-99ff-4ac1-b60d-42db719484d1.png,terminator batman
data/images/f5227c9d-4d68-4229-9249-30c52f9020f9.png,"An astronaut standing on the moon, many planets. Many science objects Sorounded"
data/images/fec693b2-391a-4d09-9b66-ee2e4ce20351.png,"Create a logo with a half angel and half  hacker using a laptop in the center and the color is black and gray, the shadow is a vibrant color angel wings encircling the hacker"
data/images/11e5a15f-6351-427b-8900-4fea90a03245.png,"Type of Image: Hawaii''s Natural Beauty ArtSubject Description: An artistic representation that visually celebrates the natural beauty of Hawaii. Create a captivating scene that showcases the lush landscapes, pristine beaches, and vibrant flora of Hawaii, emphasizing its breathtaking scenery.Art Styles: Natural Beauty ArtArt Inspirations: Representation of Hawaii''s natural wonders, Tropical paradiseCamera: N/AShot: N/ARender Related Information: High resolution, use visual storytelling to convey the natural splendor of Hawaii."
data/images/04815717-a052-4cf7-be84-ac22bc712edc.png,Big wendigo breaks the helicopter
data/images/4cac9333-ccc8-42e4-a734-b8c3dd0cb804.png,"mid-century living room with cream colored walls, no furniture, oak wood floor, natural sunlight with large window, cartoon"
data/images/5c9edcf0-b47c-4018-a5a4-a7313eae155b.png,"graphic designer designing something.vector illustration. red, grey, black and white theme. WHite background. high definition image"
data/images/4604ffcf-7a4b-40f0-a76e-9ee491f773b6.png,"Cute d3d rendering, rounded pink blue neon lines, glowing in the dark. Abstract minimalist geometric background. Ultraviolet spectrum. Cyber space. Futuristic wallpaperucks living in nature"
data/images/f80cc203-5afa-42bc-a481-bf24c37c0c5d.png,"Our protagonist Alex, is carrying a stack of books when he accidentally bump to Sarah in school hallway"
data/images/91674c07-7f59-4093-87d4-a0ab8846daf1.png,"In the dawn of Ancient Greece, where gods still tread the earth, Socrates emerged, his presence marked by a celestial eclipse, a whispering omen of the prodigious mind he was destined to become. His youthful gaze mirrored the brilliance of stars, illuminating the shadows of knowledge. Close-up shot, capturing the intensity of his eyes and the ethereal glow surrounding him. Hyper-realistic, photo realism, cinematography."
data/images/da5c4ccb-5ae7-4b2c-a10e-9126afdfcbad.png,"large double bedroom with open toilet with wabi sabi style interiors, artwork"
data/images/c36da80d-0696-46a9-b205-6c701cd442d2.png,"12oz Camp Mug Mockup, ,placed on empty floor, 3:4"
data/images/0eb26497-ee52-457f-a144-4a42ec54b8a0.png,weed and chess favicon
data/images/e6c27f89-4a9e-4fb5-96e7-3131b0819931.png,"elf woman witch sits on window, bright crimson ruby red shirt hair, pale skin, amber orange shining eyes, golden round spider web and purple glowing on background"
data/images/d1a47e78-0196-4c90-8f96-27a223f242bb.png,Draw a bright sunset on the ocean with many swimming birds.
data/images/70eb2776-7757-4992-9980-55e780931fd8.png,A photorealistic of Santa Claus walking alone on the surface of the moon at night. The background should be a dramatic sky with space objects. Capture this image with a high-resolution photograph using an 85mm lens for a flattering perspective.
data/images/cc9364f2-c34c-40a4-839d-31882d8e4370.png,"Step into a futuristic fighting game stage, where the lines between reality and illusion are blurred. The simple style and cartoonish characters add a touch of silliness to the intense battles, but beware of the creepy psychological horror lurking in the shadows."
data/images/8bef0319-9334-4187-815d-483ae72fa7e9.png,"Low angle, wide angle shot of a waterfall in the forest, there are some patches of snow, captured with a Canon EOS 6D Mark II camera, 24mm F1.2 lens, raw art style v--5.1, emotional, excellent image. treatment, high level of detail, 2d, 8k, Fujicolor PRO 400H, a little fire in the background"
data/images/358bc0d6-7429-4a0e-85fa-857138085b1e.png,angry birds bad day
data/images/a881d9a7-f584-4569-8c54-14a9c6387d5b.png,"In a moment of vulnerability, Taylor Swift''s emotions spill out onto the white tablecloth, the shattered wine glass a symbol of her shattered heart."
